id;nome;sobrenome;email;idade;data de nascimento;cidade;estado;hobbies;linguagens de programação;jogos
9f446547;João;Silva Almeida Correia;joãoy@inbox.org;28.0;1996-03-25;Juiz de Fora;MG;['fotografia'];['Swift', 'Kotlin', 'C#', 'Java'];[('Apex Legends', 'PC')]
c8799bd4;Bruno;Silva Dias Rocha;brunoe@randommail.com;47.0;1976-12-25;Brasília;DF;['cinema', 'natação', 'cozinhar', 'fotografia'];['JavaScript', 'Go', 'Ruby'];[]
04b146fc;Ana;Moraes Pereira Ribeiro;anaat@example.com;45.0;1978-11-09;Recife;PE;['viagem'];[];[('Overwatch', 'PC'), ('Valorant', 'PC'), ('GTA V', 'PlayStation 4')]
7043c6b1;Guilherme;Dias Fernandes;guilhermecl@fastmail.com;41.0;1983-03-19;;;['fotografia', 'natação', 'música', 'viagem'];['Python', 'Kotlin', 'PHP', 'C++', 'Swift'];[('Overwatch', 'PC')]
e3f891ab;Carla;Ribeiro Moraes;carlam@inbox.org;33.0;1991-06-02;Juiz de Fora;MG;['fotografia', 'futebol', 'música'];['Python', 'Swift', 'JavaScript'];[('Among Us', 'Mobile'), ('League of Legends', 'PC')]
8bcc1628;Mariana;Costa;marianasch@freemail.com;31.0;1993-01-05;Belo Horizonte;MG;['leitura'];[];[('League of Legends', 'PC')]
df928c7b;Lucas;Moraes Almeida;lucasn@webmail.net;33.0;1991-06-10;São Paulo;SP;[];['C#'];[]
04cbcc69;Beatriz;Souza Pereira;beatrizg0j@freemail.com;27.0;;Salvador;BA;['cinema', 'ciclismo', 'pintura'];['C++', 'PHP', 'Ruby'];[('Cyberpunk 2077', 'PC')]
969c7acc;Mariana;Almeida Silva;mariana0@mail.com;29.0;1995-11-22;Rio de Janeiro;RJ;['música','viagem'];['Java','C#'];[('The Witcher 3','Xbox One')]
ca4fc87a;Mariana;Almeida Silva;joaogmail.com;29.0;1995-11-22;Rio de Janeiro;RJ;['música','viagem'];['Java','C#'];[('The Witcher 3','Xbox One')]
08e9f228;Mariana;Almeida Silva;mariana2@mail.com;;1995-11-22;Rio de Janeiro;RJ;['música','viagem'];['Java','C#'];[('The Witcher 3','Xbox One')]
26a53093;Larissa;Santos Ribeiro;larissarnl@randommail.com;;1977-08-05;Porto Alegre;RS;['ciclismo', 'cozinhar'];['PHP', 'JavaScript', 'C++', 'Python'];[('Overwatch', 'PC'), ('Fortnite', 'PlayStation 4')]
8284af6b;Luís;Almeida Gomes Ribeiro;luísl4@fastmail.com;43.0;1980-12-27;Recife;PE;['pintura'];['Python', 'Java'];[('Fortnite', 'PlayStation 4')]
ca4fc87a;Mariana;Almeida Silva;mariana1@mail.com;29.0;1995-11-22;;;['música','viagem'];['Java','C#'];[('The Witcher 3','Xbox One')]
1000e909;Ana;Barbosa;ana7n@mailservice.com;45.0;1979-06-11;Juiz de Fora;;['ciclismo', 'fotografia'];['C++', 'PHP', 'Ruby', 'Go', 'C#'];[('Overwatch', 'PC'), ('Apex Legends', 'PC'), ('Minecraft', 'PC')]
